Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
98.15,100.00,0.00,10000.00,0.85,0.38,0.00,0.00,0.00,38368.95,2.75,410.00,,7.89,12189.10,214.00,455.00,-4.68,55.49
98.39,100.00,0.00,,0.78,0.39,0.00,0.00,0.00,43465.02,2.83,430.00,,1.26,12006.68,214.00,455.00,-4.68,55.49
98.00,100.00,67.22,,1.48,0.40,0.00,0.01,2.44,38688.06,2.64,420.00,,6.02,14765.67,214.00,455.00,-4.68,55.49
100.00,100.00,73.86,80000.00,1.37,0.41,0.00,0.01,2.38,44650.08,2.80,470.00,,4.50,14700.33,214.00,455.00,-4.68,55.49
100.00,100.00,78.06,40000.00,1.36,0.43,0.00,0.01,2.27,45695.20,2.91,510.00,,4.94,14745.34,214.00,455.00,-4.68,55.49
100.00,100.00,83.02,670000.00,1.22,0.46,0.00,0.01,2.13,50241.48,3.08,580.00,,4.56,15068.62,214.00,455.00,-4.68,55.49
100.00,100.00,89.65,950000.00,1.25,0.47,0.00,0.01,2.08,51720.44,3.06,580.00,,4.74,15945.26,214.00,455.00,-4.68,55.49
100.00,100.00,99.88,,1.24,0.48,0.00,0.01,2.04,45307.64,3.16,580.00,,1.77,15994.82,214.00,455.00,-4.68,55.49
100.00,100.00,99.22,,1.47,0.49,0.00,0.04,7.55,45777.13,3.08,610.00,,1.19,16213.48,214.00,455.00,-4.68,55.49
100.00,100.00,99.53,,,0.53,0.00,0.07,11.67,43703.28,,,,-10.77,10764.42,214.00,455.00,-4.68,55.49
7.79,0.10,0.87,,91.31,0.07,0.00,0.01,12.50,409.27,11.05,330.00,,6.65,138.70,111.00,71740.00,8.46,-11.78
8.55,0.20,0.84,,89.38,0.12,0.00,0.01,7.69,484.70,12.14,440.00,,-6.35,229.38,111.00,71740.00,8.46,-11.78
9.31,0.20,0.81,,87.99,0.13,0.00,0.02,13.33,460.83,9.77,500.00,,26.42,252.40,111.00,71740.00,8.46,-11.78
10.06,0.20,0.77,,86.53,0.12,0.00,0.02,14.29,454.77,9.06,550.00,,9.31,266.45,111.00,71740.00,8.46,-11.78
16.80,0.30,0.74,24790000.00,86.58,0.10,0.00,0.02,16.67,438.83,8.49,530.00,,6.60,266.57,111.00,71740.00,8.46,-11.78
11.33,0.30,0.71,56410000.00,88.13,0.06,0.00,0.02,25.00,386.95,7.97,450.00,,4.51,292.35,111.00,71740.00,8.46,-11.78
12.30,0.30,0.69,10000.00,84.37,0.04,0.00,0.00,0.00,458.00,7.97,590.00,,4.22,323.39,111.00,71740.00,8.46,-11.78
13.05,0.30,0.67,15540000.00,86.35,0.04,0.00,0.02,33.33,423.13,7.29,500.00,,8.06,360.37,111.00,71740.00,8.46,-11.78
12.10,0.40,4.74,15600000.00,86.03,0.04,0.00,0.02,33.33,405.94,6.95,520.00,,5.40,408.48,111.00,71740.00,8.46,-11.78
14.58,0.40,4.63,50000.00,86.14,0.04,0.00,0.02,33.33,396.57,6.77,520.00,,3.19,391.20,111.00,71740.00,8.46,-11.78
11.46,0.40,8.43,9310000.00,84.89,0.04,0.00,0.12,75.00,458.27,6.55,560.00,,5.35,401.83,111.00,71740.00,8.46,-11.78
14.20,0.40,8.25,,81.00,0.02,0.00,0.15,88.24,564.66,6.46,740.00,,6.32,448.34,111.00,71740.00,8.46,-11.78
16.98,0.40,8.12,,79.06,0.06,0.00,0.12,66.67,610.72,5.78,860.00,,15.18,566.38,111.00,71740.00,8.46,-11.78
13.50,0.50,7.96,,75.67,0.05,0.00,0.10,66.67,692.70,5.00,1040.00,,20.72,716.84,111.00,71740.00,8.46,-11.78
18.67,0.50,12.89,8400000.00,73.88,0.04,0.00,0.15,78.95,743.00,4.92,1150.00,,4.56,714.70,111.00,71740.00,8.46,-11.78
19.53,0.50,12.61,,75.00,0.05,0.00,0.14,73.68,592.63,6.18,910.00,,-20.60,588.23,111.00,71740.00,8.46,-11.78
20.30,0.50,12.35,29280000.00,73.60,0.06,0.00,0.16,72.73,591.52,6.00,930.00,,6.06,501.42,111.00,71740.00,8.46,-11.78
23.40,0.60,13.16,380000.00,74.61,0.06,0.00,0.17,73.91,573.70,5.68,940.00,,4.19,496.68,111.00,71740.00,8.46,-11.78
26.10,0.65,12.95,240000.00,75.95,0.06,0.00,0.20,76.92,568.17,5.51,860.00,,3.46,533.99,111.00,71740.00,8.46,-11.78
22.70,0.70,12.68,170000.00,75.44,0.02,0.00,0.19,90.48,513.00,5.40,900.00,,5.25,521.75,111.00,71740.00,8.46,-11.78
26.20,0.80,12.42,,,0.02,0.00,0.19,90.48,480.53,,,,-1.97,509.38,111.00,71740.00,8.46,-11.78
100.00,100.00,37.95,,0.33,29.00,0.00,0.00,0.00,109289.08,3.46,42120.00,0.18,9.04,23852.33,8358.00,716.00,1.35,103.82
100.00,100.00,37.50,,0.60,32.05,0.00,0.00,0.00,121494.56,3.99,42030.00,0.30,-1.07,21700.02,8358.00,716.00,1.35,103.82
100.00,100.00,37.25,,0.58,33.53,0.00,0.00,0.00,115456.87,3.81,41290.00,0.31,3.91,22159.69,8358.00,716.00,1.35,103.82
100.00,100.00,37.03,,0.58,34.21,0.00,0.00,0.00,107484.38,4.41,38160.00,0.34,4.54,23730.15,8358.00,716.00,1.35,103.82
100.00,100.00,36.60,,0.53,35.56,0.00,0.00,0.00,119262.51,4.82,39620.00,0.29,9.82,27608.54,8358.00,716.00,1.35,103.82
100.00,100.00,35.84,,0.54,36.84,0.00,0.00,0.00,123551.64,3.07,36900.00,0.28,7.36,29961.26,8358.00,716.00,1.35,103.82
100.00,100.00,34.73,,0.52,38.03,0.00,0.00,0.00,131721.67,3.03,37170.00,0.25,9.01,33769.15,8358.00,716.00,1.35,103.82
100.00,100.00,33.39,,0.50,39.64,0.00,0.00,0.00,136257.90,2.56,38290.00,0.24,9.02,39432.94,8358.00,716.00,1.35,103.82
100.00,100.00,32.07,,0.53,40.27,0.00,0.00,0.00,140055.12,2.90,38420.00,0.24,1.87,40007.47,8358.00,716.00,1.35,103.82
100.00,100.00,26.16,,0.48,40.47,0.00,0.00,0.00,145354.05,3.05,38830.00,0.23,0.12,38927.21,8358.00,716.00,1.35,103.82
100.00,100.00,25.61,,0.47,43.05,0.00,0.00,0.00,149763.22,2.48,42410.00,0.24,14.53,47236.96,8358.00,716.00,1.35,103.82
100.00,100.00,25.27,,0.48,43.66,0.00,0.01,0.02,151959.90,2.05,44770.00,0.23,6.34,53890.43,8358.00,716.00,1.35,103.82
100.00,100.00,25.37,,0.51,44.51,0.00,0.01,0.02,149476.58,2.31,43690.00,0.25,4.46,55546.49,8358.00,716.00,1.35,103.82
100.00,100.00,31.58,,0.56,45.50,0.00,0.16,0.35,148317.19,2.39,43910.00,0.27,4.84,56967.43,8358.00,716.00,1.35,103.82
100.00,100.00,37.77,,0.59,46.68,0.00,0.28,0.60,148692.52,2.52,44400.00,0.28,3.94,57562.53,8358.00,716.00,1.35,103.82
100.00,100.00,44.91,,0.65,47.45,0.00,0.41,0.86,155468.98,2.68,45430.00,0.29,2.99,55646.62,8358.00,716.00,1.35,103.82
100.00,100.00,54.31,,0.68,48.58,0.00,0.53,1.08,162248.22,2.66,46100.00,0.29,3.33,56848.18,8358.00,716.00,1.35,103.82
100.00,100.00,57.36,,0.67,49.16,0.00,0.55,1.11,164801.44,2.80,49140.00,0.28,4.52,61176.46,8358.00,716.00,1.35,103.82
100.00,100.00,65.66,,0.73,49.87,0.00,0.67,1.33,163526.77,2.51,47400.00,0.28,3.50,66679.05,8358.00,716.00,1.35,103.82
100.00,100.00,84.47,,0.84,50.96,0.00,0.78,1.51,158657.89,2.57,47380.00,0.30,1.35,65640.71,8358.00,716.00,1.35,103.82
100.00,100.00,93.64,,,50.04,0.00,0.83,1.63,154256.30,,,0.31,-5.39,59797.75,8358.00,716.00,1.35,103.82
100.00,100.00,,,3.73,9.68,16.49,4.61,68.55,40591.29,8.80,,6.25,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,6.00,9.65,17.10,5.08,69.68,41766.94,8.93,,6.66,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,5.48,8.81,17.95,5.42,72.62,42124.30,8.61,,7.01,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,5.35,9.52,17.86,3.58,69.25,40913.17,8.12,,4.49,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,6.25,9.29,17.03,4.13,69.49,40008.51,7.60,,5.42,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,6.31,8.93,17.73,4.68,71.51,42086.47,7.31,,5.80,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,6.57,8.39,18.01,4.81,73.12,40946.38,6.67,,6.19,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,8.23,7.57,15.33,4.93,72.80,38418.41,5.76,,6.75,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,7.63,7.46,16.70,4.57,74.03,39431.95,5.60,,6.23,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,10.00,6.89,14.08,4.92,73.39,35687.54,5.41,,7.33,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,10.28,6.90,14.57,5.95,74.84,38080.73,5.45,,7.98,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,10.36,7.80,15.41,5.00,72.35,36591.31,5.15,,6.98,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,10.47,7.28,15.49,5.47,74.22,35105.09,4.86,,8.01,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,10.68,6.36,15.72,6.36,77.64,35936.51,4.91,,8.99,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,12.24,5.30,15.50,6.24,80.40,33419.59,4.50,,9.86,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,13.41,5.34,15.15,6.05,79.88,33734.29,4.41,,9.64,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,13.09,5.28,14.77,6.63,80.21,34015.23,4.35,,10.00,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,12.43,5.67,15.08,6.54,79.22,35774.91,4.45,,9.41,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,12.43,5.92,14.84,5.81,77.72,35121.09,4.28,,8.50,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,17.64,6.26,15.28,6.65,77.79,33892.78,4.11,,9.98,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,,6.22,15.44,6.85,78.18,33193.33,,,10.48,,,114.00,49035.00,48.67,19.70
100.00,100.00,,,17.96,4.95,4.76,3.90,63.63,39623.41,5.23,14540.00,14.70,3.67,10201.30,103.00,20273.00,46.15,15.00
100.00,100.00,,,18.67,5.35,5.26,3.87,63.05,41459.71,5.39,15380.00,13.85,3.22,10479.76,103.00,20273.00,46.15,15.00
100.00,100.00,,,16.31,5.66,5.53,3.41,61.23,41222.29,5.21,15520.00,12.22,3.51,11777.16,103.00,20273.00,46.15,15.00
100.00,100.00,,,16.90,5.54,5.21,3.08,59.94,40319.90,5.14,15410.00,11.18,2.96,14849.04,103.00,20273.00,46.15,15.00
100.00,100.00,,,17.77,5.60,5.46,4.21,63.33,42659.85,5.07,15700.00,14.31,4.36,17233.14,103.00,20273.00,46.15,15.00
100.00,100.00,,,18.58,5.66,5.88,3.57,62.54,42491.91,5.06,15920.00,12.05,3.80,18098.91,103.00,20273.00,46.15,15.00
100.00,100.00,,,17.36,5.86,5.55,3.70,61.22,42687.35,4.77,16290.00,12.26,5.75,19672.97,103.00,20273.00,46.15,15.00
100.00,100.00,,,18.35,5.96,5.70,3.38,60.37,42242.93,4.51,16280.00,11.19,6.98,23787.65,103.00,20273.00,46.15,15.00
100.00,100.00,,,17.63,5.83,6.27,4.31,64.47,46037.57,4.59,17360.00,13.05,3.51,27483.34,103.00,20273.00,46.15,15.00
100.00,100.00,,,19.57,5.75,5.74,4.90,64.92,42289.82,4.45,15510.00,15.95,-7.55,24694.23,103.00,20273.00,46.15,15.00
100.00,100.00,,,20.07,5.85,5.66,4.75,64.02,42123.36,4.51,15780.00,15.33,1.34,23509.54,103.00,20273.00,46.15,15.00
100.00,100.00,,,19.14,5.82,6.22,3.88,63.44,40734.34,4.47,15700.00,12.85,0.86,25095.13,103.00,20273.00,46.15,15.00
100.00,100.00,,,20.22,5.69,5.53,4.33,63.41,39508.95,4.40,15120.00,14.67,-2.64,22643.10,103.00,20273.00,46.15,15.00
100.00,100.00,,,22.48,5.39,5.30,5.11,65.89,39029.04,4.33,14550.00,17.37,-1.03,23496.60,103.00,20273.00,46.15,15.00
100.00,100.00,,,22.91,4.18,6.37,6.60,75.63,39987.75,4.09,13110.00,21.74,2.77,24214.92,103.00,20273.00,46.15,15.00
100.00,100.00,,,21.38,4.80,5.65,4.35,67.57,35959.72,3.95,13140.00,15.85,2.21,20881.77,103.00,20273.00,46.15,15.00
100.00,100.00,,,20.96,5.45,5.72,5.06,66.42,38266.71,3.95,13900.00,17.12,3.19,21663.64,103.00,20273.00,46.15,15.00
100.00,100.00,,,19.71,5.32,6.29,4.44,66.85,38524.10,3.88,14120.00,14.85,4.82,23455.94,103.00,20273.00,46.15,15.00
100.00,100.00,,,20.61,5.12,5.78,5.22,68.24,39165.72,3.67,14070.00,16.98,4.42,26104.10,103.00,20273.00,46.15,15.00
100.00,100.00,,,20.86,5.03,5.82,5.04,68.34,37905.92,3.50,13600.00,16.78,3.25,25942.95,103.00,20273.00,46.15,15.00
100.00,100.00,,,,4.96,6.35,5.58,70.63,36542.87,,,19.16,-4.23,25517.33,103.00,20273.00,46.15,15.00
4.52,8.70,0.75,,55.26,0.06,0.00,0.00,0.00,2456.51,6.99,240.00,,-14.28,1017.61,25.00,28896.00,-9.65,160.16
7.48,8.70,0.73,,54.14,0.06,0.00,0.00,0.00,2508.61,7.75,250.00,,-7.96,965.77,25.00,28896.00,-9.65,160.16
10.43,8.60,0.78,,52.82,0.06,0.00,0.00,0.00,2532.75,8.15,260.00,,-2.80,795.60,25.00,28896.00,-9.65,160.16
13.37,8.60,0.76,,51.46,0.06,0.00,0.00,0.00,2587.10,7.82,270.00,,6.53,788.61,25.00,28896.00,-9.65,160.16
16.31,8.50,0.81,,49.91,0.06,0.00,0.00,0.00,2689.96,7.59,310.00,,6.65,867.11,25.00,28896.00,-9.65,160.16
19.26,8.40,0.79,,49.70,0.07,0.00,0.00,0.00,2695.84,7.32,340.00,,5.54,1014.86,25.00,28896.00,-9.65,160.16
14.40,8.30,1.81,,48.93,0.07,0.00,0.00,0.00,2734.64,7.11,340.00,,4.86,1119.69,25.00,28896.00,-9.65,160.16
12.90,8.20,1.77,,47.42,0.08,0.00,0.00,0.00,2850.48,6.89,340.00,,4.45,1260.29,25.00,28896.00,-9.65,160.16
28.10,8.20,1.73,90000.00,46.69,0.08,0.00,0.00,0.00,2828.88,6.61,320.00,,5.81,1388.96,25.00,28896.00,-9.65,160.16
21.20,8.20,1.69,80000.00,45.79,0.08,0.00,0.00,0.00,2862.03,6.59,330.00,,2.56,1428.51,25.00,28896.00,-9.65,160.16
34.77,8.10,1.31,,45.07,0.08,0.00,0.00,0.00,2880.25,6.19,340.00,,8.62,1604.21,25.00,28896.00,-9.65,160.16
38.68,8.20,2.76,10000.00,43.61,0.08,0.00,0.00,0.00,2918.43,5.93,350.00,,7.27,1938.89,25.00,28896.00,-9.65,160.16
42.57,8.20,2.68,1090000.00,43.82,0.08,0.00,0.00,0.00,2854.35,5.82,350.00,,1.86,2141.82,25.00,28896.00,-9.65,160.16
44.70,8.20,2.61,10000.00,41.83,0.09,0.00,0.00,0.00,2771.77,5.85,390.00,,5.33,2248.61,25.00,28896.00,-9.65,160.16
50.31,8.40,3.53,13060000.00,45.89,0.09,0.00,0.00,0.00,2543.96,5.37,340.00,,1.05,2274.89,25.00,28896.00,-9.65,160.16
55.10,8.40,3.44,6830000.00,48.64,0.09,0.00,0.00,0.00,2266.20,4.99,310.00,,1.42,2167.12,25.00,28896.00,-9.65,160.16
58.33,8.60,5.26,7100000.00,48.70,0.10,0.00,0.00,0.00,2124.67,4.66,360.00,,5.88,2225.49,25.00,28896.00,-9.65,160.16
62.90,8.60,5.71,163010000.00,48.98,0.10,0.00,0.00,0.00,2061.45,4.40,350.00,,5.34,2332.84,25.00,28896.00,-9.65,160.16
66.18,8.90,5.56,20550000.00,48.64,0.10,0.00,0.00,0.00,2107.61,4.28,360.00,,3.94,2411.86,25.00,28896.00,-9.65,160.16
69.81,9.20,5.42,46400000.00,48.39,0.10,0.00,0.00,0.00,2027.38,4.27,360.00,,1.20,2344.05,25.00,28896.00,-9.65,160.16
73.35,9.10,5.28,,,0.10,0.00,0.00,0.00,1877.32,,,,-4.32,2250.60,25.00,28896.00,-9.65,160.16
1.89,0.40,0.00,,93.28,0.23,0.00,0.00,0.00,340.10,11.22,490.00,,,,25.00,637657.00,5.15,46.20
4.50,0.40,0.00,,93.26,0.25,0.00,0.00,0.00,332.43,11.32,510.00,,,,25.00,637657.00,5.15,46.20
7.40,0.50,0.00,,92.58,0.26,0.00,0.00,0.00,346.38,11.39,570.00,,,,25.00,637657.00,5.15,46.20
9.71,0.50,0.00,,92.80,0.26,0.00,0.00,0.00,334.06,11.51,580.00,,,,25.00,637657.00,5.15,46.20
12.30,0.60,0.00,,93.00,0.26,0.00,0.00,0.00,322.43,11.48,580.00,,,,25.00,637657.00,5.15,46.20
14.90,0.60,0.00,,93.30,0.27,0.00,0.00,0.00,314.66,11.47,580.00,,,,25.00,637657.00,5.15,46.20
15.23,0.70,0.00,,93.47,0.28,0.00,0.00,0.00,307.73,11.60,580.00,,,,25.00,637657.00,5.15,46.20
20.10,0.70,0.00,,93.02,0.29,0.00,0.00,0.00,302.79,11.53,620.00,,,,25.00,637657.00,5.15,46.20
22.71,0.80,0.00,,93.37,0.30,0.00,0.00,0.00,291.03,11.74,620.00,,,,25.00,637657.00,5.15,46.20
25.33,1.00,0.00,,93.63,0.31,0.00,0.00,0.00,283.20,11.82,610.00,,,,25.00,637657.00,5.15,46.20
52.16,1.10,0.00,,93.57,0.31,0.00,0.00,0.00,283.12,11.87,630.00,,,,25.00,637657.00,5.15,46.20
51.97,1.30,0.00,,93.65,0.31,0.00,0.00,0.00,278.72,11.79,630.00,,,,25.00,637657.00,5.15,46.20
51.76,1.40,0.17,,93.90,0.32,0.00,0.00,0.00,274.60,11.68,630.00,,,,25.00,637657.00,5.15,46.20
51.53,1.60,0.17,3340000.00,94.40,0.33,0.00,0.00,0.00,265.80,11.95,650.00,,,350.17,25.00,637657.00,5.15,46.20
51.29,1.80,0.17,,94.64,0.33,0.00,0.00,0.00,256.70,11.74,650.00,,7.51,374.11,25.00,637657.00,5.15,46.20
51.13,2.00,0.22,310000.00,94.50,0.33,0.00,0.00,0.00,257.55,11.35,650.00,,14.90,386.44,25.00,637657.00,5.15,46.20
51.11,2.30,0.53,800000.00,94.78,0.33,0.00,0.01,2.94,253.76,11.61,660.00,,8.40,389.82,25.00,637657.00,5.15,46.20
52.10,2.40,0.72,20000.00,94.90,0.33,0.00,0.02,5.71,244.05,11.73,660.00,,2.59,384.46,25.00,637657.00,5.15,46.20
50.76,2.70,0.71,3210000.00,94.93,0.33,0.00,0.02,5.71,236.28,11.69,660.00,,7.68,389.83,25.00,637657.00,5.15,46.20
49.20,2.90,0.69,21490000.00,95.03,0.33,0.00,0.02,5.71,227.57,11.64,690.00,,8.08,419.39,25.00,637657.00,5.15,46.20
49.73,3.20,1.64,,,0.35,0.00,0.03,7.89,212.10,,,,2.44,438.26,25.00,637657.00,5.15,46.20
72.28,55.90,27.76,7020000.00,16.25,181.67,13.01,1.79,7.53,25321.52,10.07,284660.00,0.41,4.20,3374.72,49.00,1219090.00,-30.56,22.94
70.20,57.80,28.16,1240000.00,15.62,183.36,10.72,2.46,6.71,25228.53,9.48,320540.00,0.54,2.70,2971.82,49.00,1219090.00,-30.56,22.94
76.70,60.00,27.88,25560000.00,13.88,188.79,11.99,2.81,7.27,24361.89,8.67,331320.01,0.65,3.70,2797.09,49.00,1219090.00,-30.56,22.94
78.80,62.10,33.96,,13.05,204.39,12.66,1.19,6.35,26150.76,9.48,353090.00,0.30,2.95,4217.11,49.00,1219090.00,-30.56,22.94
80.90,64.40,20.04,40000.00,12.29,212.63,14.28,1.33,6.84,28271.90,9.88,379989.99,0.29,4.55,5409.13,49.00,1219090.00,-30.56,22.94
80.80,66.80,19.79,13110000.00,10.98,215.23,12.24,1.75,6.10,26508.63,9.03,377649.99,0.40,5.28,6033.10,49.00,1219090.00,-30.56,22.94
80.70,69.00,19.54,7770000.00,10.74,223.25,10.07,3.28,5.64,26793.56,8.72,379790.01,0.73,5.60,6266.53,49.00,1219090.00,-30.56,22.94
82.00,71.40,19.38,1150000.00,10.36,232.91,12.60,1.30,5.63,27245.98,9.01,397060.00,0.70,5.36,6780.88,49.00,1219090.00,-30.56,22.94
81.90,73.50,19.23,1170000.00,11.55,226.32,12.75,1.66,5.99,28867.24,9.47,426739.99,0.35,3.19,6350.65,49.00,1219090.00,-30.56,22.94
82.60,75.40,19.32,100000.00,10.97,218.17,11.57,1.86,5.80,28399.28,9.74,404200.01,0.39,-1.54,6532.74,49.00,1219090.00,-30.56,22.94
82.90,77.10,19.38,261160000.00,11.77,227.57,12.90,2.51,6.34,28247.58,8.83,425310.00,0.32,3.04,8148.96,49.00,1219090.00,-30.56,22.94
83.60,78.80,19.17,265140000.00,11.36,229.06,12.94,2.49,6.31,27552.76,8.70,409260.01,0.70,3.17,8810.93,49.00,1219090.00,-30.56,22.94
85.30,80.20,18.98,484730000.00,10.60,226.84,12.40,1.66,5.84,26770.20,8.14,426780.00,0.31,2.40,8222.20,49.00,1219090.00,-30.56,22.94
85.20,81.50,27.93,409200000.00,9.77,223.28,13.61,1.62,6.39,26525.15,7.88,436920.01,0.37,2.49,7467.08,49.00,1219090.00,-30.56,22.94
85.90,82.65,49.69,202270000.00,9.85,218.42,14.76,3.38,7.67,26411.89,8.20,447929.99,0.82,1.41,6988.81,49.00,1219090.00,-30.56,22.94
85.30,83.40,61.91,725580000.00,10.28,214.88,10.97,6.09,7.36,25352.56,7.58,424810.00,1.22,1.32,6259.84,49.00,1219090.00,-30.56,22.94
83.90,84.40,82.73,201750000.00,10.53,213.09,15.21,7.69,9.70,26236.48,7.91,425140.01,1.62,0.66,5756.97,49.00,1219090.00,-30.56,22.94
84.40,85.20,114.85,26330000.00,10.45,212.77,15.09,10.04,10.56,26033.50,7.86,435649.99,2.41,1.16,6690.94,49.00,1219090.00,-30.56,22.94
84.70,85.70,136.82,378180000.00,10.19,214.25,10.56,12.22,9.61,24742.12,7.73,434350.01,2.66,1.49,7005.10,49.00,1219090.00,-30.56,22.94
85.00,86.30,136.80,164100000.00,10.50,208.39,13.60,12.57,11.16,25511.21,8.03,439640.01,2.64,0.11,6624.76,49.00,1219090.00,-30.56,22.94
84.39,86.80,162.50,,,197.50,11.62,12.83,11.02,23568.95,,,3.15,-6.43,5655.87,49.00,1219090.00,-30.56,22.94
3.61,0.00,0.01,28370000.00,30.13,0.44,0.00,0.00,0.00,568.44,1.28,1450.00,,13.13,1779.47,18.00,644329.00,6.88,31.31
4.10,0.00,0.01,,29.85,0.46,0.00,0.00,0.00,582.46,1.30,1530.00,,3.37,1322.82,18.00,644329.00,6.88,31.31
4.60,0.00,0.01,70000.00,26.70,0.54,0.00,0.00,0.00,714.99,1.09,1970.00,,-10.79,1119.65,18.00,644329.00,6.88,31.31
5.12,0.00,0.04,30000.00,28.79,0.49,0.00,0.00,0.00,698.39,,1730.00,,,,18.00,644329.00,6.88,31.31
4.20,0.00,0.04,300000.00,28.63,0.51,0.00,0.00,0.00,635.44,,1520.00,,,,18.00,644329.00,6.88,31.31
6.17,0.00,0.05,280000.00,28.65,0.55,0.00,0.01,1.79,671.76,,1550.00,,,,18.00,644329.00,6.88,31.31
6.71,0.00,0.06,100000.00,26.65,0.55,0.00,0.01,1.79,747.49,,1700.00,,,,18.00,644329.00,6.88,31.31
7.24,0.00,0.06,,,0.53,0.00,0.01,1.85,703.14,,,,,,18.00,644329.00,6.88,31.31
100.00,100.00,,,7.88,124.22,62.21,34.49,43.77,37495.70,3.60,293310.00,7.01,5.25,14713.07,94.00,505370.00,40.46,-3.75
100.00,100.00,,,8.93,120.06,63.71,49.30,48.49,39003.95,3.56,294790.00,9.17,3.93,15355.70,94.00,505370.00,40.46,-3.75
100.00,100.00,,,7.42,143.72,63.02,33.17,40.09,38938.44,3.57,312750.00,6.45,2.73,17025.53,94.00,505370.00,40.46,-3.75
100.00,100.00,,,8.92,139.67,61.88,55.75,45.72,40418.16,3.58,318660.00,9.76,2.98,21463.44,94.00,505370.00,40.46,-3.75
100.00,100.00,,,8.05,159.91,63.61,50.13,41.56,41185.83,3.63,335560.00,8.44,3.12,24861.28,94.00,505370.00,40.46,-3.75
100.00,100.00,,,7.30,184.65,57.54,42.27,35.09,40779.03,3.57,350500.00,6.92,3.65,26419.30,94.00,505370.00,40.46,-3.75
100.00,100.00,,,8.49,182.98,60.13,52.15,38.03,40681.79,3.43,341780.00,8.36,4.10,28365.31,94.00,505370.00,40.46,-3.75
100.00,100.00,,,9.02,188.13,55.10,58.30,37.61,40817.65,3.36,354679.99,9.06,3.60,32549.97,94.00,505370.00,40.46,-3.75
100.00,100.00,,,9.76,189.55,58.97,62.15,38.99,39067.87,3.22,324269.99,9.95,0.89,35366.26,94.00,505370.00,40.46,-3.75
100.00,100.00,,,12.25,164.69,52.76,74.08,43.51,35904.38,3.07,287489.99,12.66,-3.76,32042.47,94.00,505370.00,40.46,-3.75
100.00,100.00,,,14.44,138.39,61.99,97.77,53.58,36714.20,3.07,273250.00,16.74,0.16,30502.72,94.00,505370.00,40.46,-3.75
100.00,100.00,,,14.79,146.12,57.72,87.53,49.85,35901.07,3.04,274399.99,15.47,-0.81,31636.45,94.00,505370.00,40.46,-3.75
100.00,100.00,,,15.83,145.33,61.47,86.97,50.53,35681.48,3.13,269269.99,15.89,-2.96,28324.43,94.00,505370.00,40.46,-3.75
100.00,100.00,,,16.99,113.32,56.73,111.42,59.74,34008.01,2.96,242810.00,19.90,-1.44,29059.55,94.00,505370.00,40.46,-3.75
100.00,100.00,,,17.41,107.37,57.31,110.26,60.95,33478.24,2.86,240960.01,20.09,1.38,29461.55,94.00,505370.00,40.46,-3.75
100.00,100.00,,,16.33,123.19,57.20,97.09,55.60,33920.24,2.85,256280.00,17.51,3.84,25732.02,94.00,505370.00,40.46,-3.75
100.00,100.00,,,17.21,107.93,58.63,104.63,60.20,34212.63,2.79,247030.00,18.61,3.03,26505.34,94.00,505370.00,40.46,-3.75
100.00,100.00,,,15.71,126.93,58.04,87.93,53.49,34520.54,2.86,263450.01,15.68,2.97,28100.59,94.00,505370.00,40.46,-3.75
100.00,100.00,,,17.42,112.23,55.77,103.88,58.72,34986.29,2.77,257040.01,18.23,2.29,30349.75,94.00,505370.00,40.46,-3.75
100.00,100.00,,,17.27,111.55,58.35,100.99,58.82,33764.86,2.64,239980.00,17.38,2.09,29555.32,94.00,505370.00,40.46,-3.75
100.00,100.00,,,,87.64,58.30,113.79,66.26,30391.29,,,22.10,-10.82,27063.19,94.00,505370.00,40.46,-3.75
